name,location,suburb,beach_type,rating,return_visit,tags,vibe,review,related_walks,visited,other_names,latitude,longitude
Castle Rock Beach,Northern Beaches,Clontarf,"Harbour Beach, Sydney Harbour",7,Yes,,"Chill, It's Giving Secret Beach, THE DRAMA","Elite level beach, I love the steep walk down and the views that you get from it. It’s small but it feels really hidden away, one of Sydney’s best kept secrets. I love the cliff walls on either side of it that make it feel really dramatic. It’s never too crowded and the water and sand is really stunning. Some boats like to park up here but never the big commercial ones so it feels more intimate. Good place to SUP from and love that every-time I’m here the ice cream boat guy seems to come. ",Spit to Manly Walk,Visited,,-33.81148128,151.25882687375034
Clontarf Beach,Northern Beaches,Clontarf,"Harbour Beach, Sydney Harbour",6,Yes,"BBQ, Cafe, Crystal Water, Dog Beach",Chill,"Super beautiful, I love watching all of the boats go past on a sunny day. Feels small but also big at the same time? I dunno something about the proportions are wacky. I love that some houses here open up onto the sand as their front yard (gives me inspo for a totally unrealistic fantasy future house for myself). A few too many families for me but a good place to SUP or yak. If you have a dog you can also go to Sand Bay nearby, it’s an okay dog beach. ",Spit to Manly Walk,Visited,Sandy Bay,-33.80054433,151.26026669748487
Burra Bra,North Shore,Mosman,"Harbour Beach, Sydney Harbour",1,No,Cafe,Not Worth your Time,The kind of awkward beach that is right on Spit rd before the bridge. It does have nice sand but the location feels weird - was this always a beach or have I only just noticed it? Anyway it’s nice looking at all the boats in the Marina but I wouldn’t go here unless I owned one of those boats or I was stuck waiting for the Spit Bridge to close on a 40 degree day. I do like that they have given it a traditional place name tho. ,Spit to Manly Walk,Visited,,-33.80536441,151.24716974025372
Chinaman’s Beach,North Shore,Mosman,"Harbour Beach, Sydney Harbour",5,Yes,"BBQ, Crystal Water","Book Readers Delight, Chill","This is a really beautiful beach, especially if you come here during November you will be inundated with purple Jacaranda trees which makes it feel really boujee (like being in Mosman wasn’t enough). It has very white sand and really clear water. It was really windy the last time I came here though so I’m deducing points for that. Also you can see the North Shores best beach (Castle Rock) right opposite here and it is honestly just a tease. There is a great park nearby where you can also chill and sunbake in a bikini if you like. ",,Visited,,-33.81453228,151.24841918042395
Freshwater Beach,Northern Beaches,Freshwater,"Ocean Pool, Surf Beach",7,Yes,"BBQ, Bars, Cafe",Visit with Mates,"Love Freshie, pure white sand and great surf to jump over. It’s also massive so can accommodate the crowds on busy summer days. Sometimes it is hard to find a park but usually it’s doable. Also has a super cute cafe nearby and an ocean pool. The cliffs on either side give it a more cosmopolitan feel if that makes sense? ",,Visited,,-33.78127595,151.29015052217667
Curl Curl Beach,Northern Beaches,Curl Curl,"Ocean Pool, Surf Beach",6,Yes,"Cafe, Dog Beach","Intimidatingly Large, Visit with Mates","The north and the south of this beach are pretty different. Both sides have an ocean pool. The north has more going on and feels more homey in a way because it’s near the cliffs. It also has the kiosk and the dog lagoon which is cute. North can get a bit overwhelming on hot weekends which is when it’s good to move further down south. The ocean pool in the north is really top notch too. Theres honestly nothing wrong with south, there is just more character up north. ",,Visited,"North Curl Curl, South Curl Curl",-33.76944994,151.2952709722282
Dee Why Beach,Northern Beaches,Dee Why,"Ocean Pool, Surf Beach",4,Yes,"Bars, Cafe","Intimidatingly Large, Visit with Mates","I like that Dee Why is on the B1 line (long live the b1!!) It’s pretty narrow at high tide but otherwise a good size. There are a lot of cafes around but all of the new developments are not giving beach vibes. I like it, it’s fine - nothing to write home about, there are better surf beaches in the north, but this one does have nice water. ",,Visited,,-33.75116897,151.2969858392339
Narrabeen/ Collaroy Beach,Northern Beaches,Narrabeen,"Ocean Pool, Surf Beach",5,Yes,"BBQ, Bars, Cafe","Intimidatingly Large, Kids & Families Only, Visit with Mates","So long story short, one side is Narrabeen, one sude is Collaroy. Collaroy is HUGE which is what makes it great. You can always find a spot that has zero people around you and there is usually a really beautiful contrast of white sand and super blue water. I also really like the Surf Deck - cocktail and pizza bar, (Merivale succeeds again unfortunately ) that faces onto it. North Narrabeen is definitely more popular, especially around the ocean pool, full of children on the weekend. I also want to know where on the beach the sand turns from orange to white. Weird.",,Visited,North Narrabeen,-33.72586504,151.29775391607595
Milk Beach,East,Vaucluse,"Harbour Beach, Sydney Harbour",7,Yes,NYE Fireworks Slay,"Book Readers Delight, It's Giving Secret Beach, Romantic","Elite level beach. You walk down to it through a park with a beautiful Victorian house (Strickland House). When you get there it’s a tiny beach but super white sand and full city skyline views. I’m talking Opera House and Harbour Bridge. It can get busy on the weekends as it’s no longer a secret beach, but it’s fun to play in the water or just chill. Honestly it should be more busy for how good the vibes are there. It’s a part of the Hermitage foreshore walk so there are a lot of people that walk through it without stopping. ",Hermitage Foreshore Walk,Visited,,-33.85592168,151.26536393538618
Bondi Beach,East,Bondi,"Ocean Pool, Surf Beach",7,Yes,"BBQ, Bars, Cafe","Backpacker's love it, Potential for Party, THE DRAMA, Visit with Mates","I feel like I’m fighting for my life sometimes defending Bondi. Yes it is crowded, yes it is super touristy, but it’s a massive beach that can totally accomodate everyone and it’s surrounded by world class bars, cafes and restaurants. Literally I do not care about what you think of Bondi, like it’s popular for a reason.  I also dated someone that lived there so I feel like the ~ Bondi lifestyle ~ IS REAL AND GOOD. There is always a buzz here and I only recently found out that there is always a drum circle on the north side every Sunday. Sure is it kinds of insufferable on a hot Saturday at lunchtime? YES, but the other times make up for it. Hot local tip for wintertime: Go to Bondi Icebergs and pay for a single pass of the Sauna (I think it’s only about $9) and move between the sauna and jumping in the icebergs pool. This is an elite winter activity and surprisingly affordable).  ",Bondi to Coogee Walk,Visited,,-33.8911737,151.27509581994343
MacKenzie’s Bay,East,Tamarama,Bay,5,Yes,Dog Beach,"It's Giving Secret Beach, THE DRAMA","This beach is usually not accessible but some years the tides change (somehow) and it reveals a hidden beach. The beach is fine, but it’s on the Bondi-Coogee walk and it gets extra points for the mystery factor. Because it’s not normally a beach it is a bit lawless so lot’s of people bringing their dogs and kind of just doing anything which is a great vibe. ",Bondi to Coogee Walk,Visited,,-33.89931451,151.27330720155476
Tamarama Beach,East,Tamarama,Surf Beach,7,Yes,"BBQ, Cafe","Backpacker's love it, THE DRAMA, Visit with Mates","One of my favourite beaches, this is somewhat controversial to some people and it is unclear why to me. It has dramatic cliff faces on both sides but it’s almost always sunny, a cute cafe, grass to chill on and beach BBQs. It looks unique because of how narrow but long it is which is nice and I always appreciate the Brazilians cooking up a feast and bringing a fun vibe. ",Bondi to Coogee Walk,Visited,,-33.9003013,151.27072073854373
Bronte Beach,East,Bronte,"Ocean Pool, Surf Beach",5,Yes,"BBQ, Bars, Cafe","Backpacker's love it, Potential for Party, Visit with Mates","Can get very busy during summer weekends, but I like that it is always buzzing. I like having the option to sit on the grass or the beach and I like that there are lot’s of cafes nearby. One day I will finally organise a beach BBQ here. Also I love the ocean pool that is there, I don’t know why, it’s just great. ",Bondi to Coogee Walk,Visited,,-33.90332005,151.2685642425957
Clovelly,East,Clovelly,"Bay, Ocean Pool",6,Yes,Cafe,"Chill, The Place to be Seen","I love Cloey, very much a euro feel to it and I love that it’s so many young people on the concrete with the kids staying on the sand mostly. Is is kinda uncomfortable? Sure. But I love looking at everyone lounging around and it’s a unique experience swimming in the concrete bays. Apparently Cloey was created during the 30s to distract everyone from how miserable their lives were, and I like that it still is. The ocean pool is a bit of an ick though. Also minus 1 point because I hate the cafe!!",Bondi to Coogee Walk,Visited,,-33.91340264,151.26597211793253
Gordons Bay,East,Coogee,Bay,6,Yes,,"Book Readers Delight, Chill, The Place to be Seen","Truly the place to be seen. This is a popular one for inner west kids to hang out at which makes it feel cool. This is definitely the East version of Fairy Bower pools. Can spend a whole day here going in and out of the water, and I like that it is a different experience each time depending on which rocks you sit on. Also has beautiful and super clear blue water. ",Bondi to Coogee Walk,Visited,,-33.91468275,151.26076722005763
Coogee Beach,East,Coogee,"Natural Rock Pool, Ocean Pool, Surf Beach",3,Yes,"BBQ, Bars, Cafe","Backpacker's love it, Potential for Party, Visit with Mates","Honestly this might be controversial but I am a Coogee beach hater. I don’t know, the vibes are just off there. Could be the infamous Coogee Bay Hotel poop incident, or the amount of brits to others ratio. Although it has a park and cafes and bars it just doesn’t feel fun. I know that it’s a pretty popular sunrise spot which I imagine would be quite nice. Like I guess it’s fine, theres nothing actually wrong with it I just don’t like it. The best part of it is definitely Giles Baths, that spot is a fucking slay honestly and I'm rating Coogee way higher because of it.  ",Bondi to Coogee Walk,Visited,"Giles Baths, Ross Jones Rockpool",-33.9201789,151.2585350158079
Maroubra Beach,South East,Maroubra ,"Natural Rock Pool, Surf Beach",6,Yes,"BBQ, Bars, Cafe","Intimidatingly Large, Stepping Back in Time, Visit with Mates","Definitely a lot less developed than the rest of the eastern beaches but I quite like that. It feels less boujee than the rest of the eastern surf beaches which is a nice change. It’s massive and you are never have to fight for a spot. There are also lots of ops for food around it. I really like the vibe of the north end, I like watching all of the surfers shed, and I love the fucking random rubix cube. The south end is really peaceful with some natural rock pools. You know me I love the upkeep of the natural vegetation on the coastline and the south has plenty of it! You can continue to do a coastal walk from the south all the way down to Malabar which I highly recommend! ",Malabar Headland Walk,Visited,,-33.9484566,151.25642803336137
Malabar Beach,South East,Malabar ,"Bay, Ocean Pool",5,Yes,Cafe,"Book Readers Delight, Chill, Stepping Back in Time","Cute little beach that feels more like it’s in a regional town, good to SUP at and you can also sit on the rocks. Cute cafe nearby with really good smoothies. ",Malabar Headland Walk,Visited,,-33.96394185,151.2515438743099
Little Bay,South East,Little Bay,Bay,5,Yes,Crystal Water,"Book Readers Delight, Chill","This is a really stunning beach, great for snorkelling and kind of hidden away under the golf course nearby. Very chilled experience and the sand and the water are divine. Minus a point for the literally horrific shark attack that happened here though. ",,Visited,,-33.8354211,151.27889192005404
Marrinawi Cove,CBD,Barangaroo,"Harbour Pool, Sydney Harbour",6,Yes,NYE Fireworks Slay,"THE DRAMA, The Place to be Seen","Vibes are high here, I love that it’s so close to the CBD like literally working in Wynyard you could walk here on a lunch break. I love the uneven sandstone that they have created here, honestly it just feels illegal to be swimming so close to suits. I can’t wait for them to open up more pools like this. ",,Visited,,-33.85525427,151.2026391419628
Salmon haul,South,Cronulla,Bay,5,Yes,Crystal Water,"Book Readers Delight, Chill, The Place to be Seen","It's really cute, it's giving Gordon's Bay vibes. It was super windy when I came here so the water was pretty choppy but it would be a good place to snorkel if you come on a calm day. I love sitting on the rocks and it's easy to get in and out of the water from them.",Cronulla Beach Walk,Visited,,-34.07248796,151.15208630686928
Darook Beach,South,Cronulla,Bay,3,Yes,,"Book Readers Delight, Chill","Nice white sand with only some debris on it. I like that the houses here seem to open up their front yards onto the beach, it’s giving Clontarf beach vibes. Really calm so quite a few children. Nothing wrong with it, but nothing too special either. ",Cronulla Beach Walk,Visited,,-34.06916425,151.14830193707147
South Cronulla Beach,South,Cronulla,"Ocean Pool, Surf Beach",6,Yes,"Bars, Cafe","Potential for Party, Stepping Back in Time, Visit with Mates",I really like the vibes of this beach! The grass that faces onto the beach is so soft. I also love that it feels like you’re going back in time with the architecture. There is also an ocean pool and a promenade! ,Cronulla Beach Walk,Visited,,-34.05556855,151.15478239087176
Lady Bay,East,Watson’s Bay,"Harbour Beach, Sydney Harbour",6,Yes,"Crystal Water, Nudist","Book Readers Delight, NSFW, THE DRAMA","It's literally beautiful, super secluded with rock walls on either side, the a dual sand part is really small so most people are sitting on rocks. Also it's a nudist beach! Mix of men and women which is nice and pretty shallow super blue water.",,Visited,,-33.83539493,151.27912747504755
Camp Cove,East,Watson’s Bay,"Harbour Beach, Sydney Harbour",7,Yes,"Cafe, Crystal Water",Chill,"Okay honestly this is an elite level beach. Super clear water which pops nicely against the more orange sand, cute little shop/cafe right on the beach and literally city skyline views. Good mix of flora too, natives and palm trees bring a good vibe. I honestly shudder to think about how much these houses that face onto it would cost though. ",,Visited,,-33.83900947,151.27919422280848
Watson's Bay,East,Watson’s Bay,"Harbour Beach, Harbour Pool, Sydney Harbour",3,Yes,"Bars, Cafe","Book Readers Delight, Chill","As bar as the beach is concerned it's not much to write home about. It's pretty small and not tgat interesting other than watching the ferries arrive. The baths are pretty nice tho! A nice tree overhanging a tiny slip of sand and the rest is people hanging on a floating pier. I don't know why (maybe the flaring pier?) But it's giving me bodesee in Austria vibes. Definitely an older crowd, but it's super relaxed. The water is super clear considering its so close to the ferry. I have also been told that it’s a great to get a bev at the Watson’s Bay hotel. ",Rose Bay to Watson's Bay,Visited,,-33.84231225,151.28175057745352
Gibson's Beach,East,Vaucluse,"Harbour Beach, Sydney Harbour",2,No,,Not Worth your Time,"Ehh it's fine. Nothing very special about it, there is a pier you can jump off but the sand has quite a bit of debris. Although you can see the top of the harbour Bridge! There are much much better beaches in Vaucluse. I might come here if I was feeling irritable and didn't want to see anyone, or if I needed a big cry and didn't want to be dramatic about it.",Rose Bay to Watson's Bay,Visited,,-33.84647307,151.28025926635718
Kutti Beach,East,Vaucluse,"Harbour Beach, Sydney Harbour",7,Yes,"Crystal Water, Dog Beach","Chill, It's Giving Secret Beach","Okay wow honestly fucking slay. This is a true hidden beach, the steps down to it are tiny and hidden in front of the yacht club. It has about 5 mcmansions that face onto it, all with boat sheds lol. Dogs are allowed too! ",Rose Bay to Watson's Bay,Visited,,-33.8470879,151.2786713986995
Parsley Bay,East,Vaucluse,"Harbour Beach, Sydney Harbour",3,Yes,Cafe,Chill,"I feel likke this might be controversial but I’m a bit of a hater on Parsley Bay. Honestly I don’t know why, the bridge is nice but the whole beach just feels a bit underwhelming? Maybe because of the massive park by it? Maybe because all of the steps lead up to mcmansions? The cafe is cute though, and if you’re worried about sharks there are also nets. ",Rose Bay to Watson's Bay,Visited,,-33.85139161,151.27721227690714
Shark Beach,East,Vaucluse,"Harbour Beach, Sydney Harbour",5,Yes,"Bars, Cafe, Shark Nets","Chill, Kids & Families Only","So pretty with really blue water! Personally I think the shark nets kind of ruin the vibe a bit, but there are really beautiful rock formations here and I like the promenade. I remember I got to reveal to my family that I got my dream internship when we were at the cafe near this beach. That was back when I had better things to do than write this list. It is closed for renovations on the promenade until 2026 apparently though, so be aware of that. ","Hermitage Foreshore Walk, Rose Bay to Watson's Bay",Visited,,-33.85031736,151.26756959935722
Warriewood Beach,Northern Beaches,Warriewood,Surf Beach,6,Yes,Cafe,"THE DRAMA, Visit with Mates","I love this beach! It feels much more like a beach in a regional town than one in Sydney. I love the dramatic cliffs with the native vegetation that encircle it. It also feels like the perfect size for a beach. Orange sand is lovely. I don’t love 12 paid parking, its like… just make it 2-4 hours unpaid? But I digress. You can just park at the top of the cliff and walk down. ",,Visited,,-33.69056319,151.30926230617789
Mona Vale,Northern Beaches,Mona Vale,"Ocean Pool, Surf Beach",6,Yes,"BBQ, Cafe","Intimidatingly Large, Visit with Mates","Right next to Warriewood and significantly bigger. I love the entrance, something about walking through the protected vegetation and spinifex at the start of a beach always feels so nostalgic for me. It reminds me of family holidays in Hawks Nest and camping up the coast. I think I always tend to drop down biggest beaches on this list because I feel like all that space removes part of the charm of the beach? But realistically this is a great beach. Honestly I actually had a bit of a spiritual expefience here, I came at 6pm on a 40 degree day, as I got into the warm water and was diving under the waves it started raining, except that it was a sun shower so it was stlll basically blue skies and bright out, also it was golden hour… I dunno man that moment just really hit me. I also love the ocean pool that sits in between Mona Vale and Basin Beach, the rocks around it make it look so dramatic, I could almost imagine it in an impressionist painting. Basin is the beach that is adjoined, it’s more protected by the rocks so it’s nice that all the children were concentrated there instead of the rest of the beach. ",,Visited,"Bongin Beach, Basin Beach",-33.67939212,151.3131603295668
Athol Beach,North Shore,Mosman,"Harbour Beach, Sydney Harbour",6,Yes,NYE Fireworks Slay,Romantic,"Actually even nicer than I expected! I didn’t know there was a beach is Mosman with this nice of a view of the Harbour Bridge! I love all of the bush turkeys around as well and when you walk down you go past a beautiful federation house were people often have weddings and there are cute bunnies running around! Although I will say this, eat there with caution as I had a magpie swoop me and very accurately stole my burger straight out of my hand. Honestly fair play, hope he enjoyed the peri peri chicken deluxe. ",Taronga to Balmoral Walk,Visited,,-33.84819028,151.2443333559537
Dawn Fraser Baths,Inner West,Balmain,"Harbour Pool, Sydney Harbour",3,Yes,Paid,"Chill, Stepping Back in Time","I really wanted to like this more than i did considering its the only spot in the inner west. It's definitely the most commercial one so far, and you had best believe I do not like paying to swim in the harbour. I really like the grand stand architecture especially set amongst the trees but I figured there would be more space to lay down. I went on a random day so I'm open to the idea that it would be more of a vibe when it'd busier. But I did like being able to go sit in the shade when I got too hot. However the water was a bit gross in some spots.",,Visited,,-33.85378697,151.17371410878653
Avalon Beach,Northern Beaches,Avalon,"Ocean Pool, Surf Beach",7,Yes,"BBQ, Cafe",Visit with Mates,Okay I did not expect to like Avalon as much as I did. This beach had paradise vibes.,,Visited,,-33.6349495,151.33254978751242
Bilgola Beach,Northern Beaches,Bilgola ,"Ocean Pool, Surf Beach",5,Yes,Cafe,"THE DRAMA, Visit with Mates","The best bit about this beach is getting to drive down the serpentine to get there. Wow that road is amazing, roll down the windows and turn up some fleetwood mac and you're golden. The beach is what I'm starting to realise is a mainstay of a lot of northern beaches with the steep cliff face, natural vegetation and more orange sand, and I still love it! It’s a great beach with a cute little cafe with actually amazing food, I got mine to go and sat on the sand. It also has an ocean pool, nothing to out of the ordinary except this is where I witnessed the parking price. $10 per hour to park anywhere near the beach, and you need to park there because it's too long and steep to trek down to it if you park on the street above. $10 per hour to park in fucking bilgola you've got to be kidding me, fortunately my no ticket streak continues.",,Visited,,-33.64499035,151.32922237712265
Long Beach,Northern Beaches,Clareville,"Harbour Beach, Pittwater Harbour",3,Yes,"BBQ, Crystal Water","Book Readers Delight, Kids & Families Only","There are a lot of children be warned! It’s a super cute beach. It faces onto pittwater harbour so it's really protected, literally the flattest water I've ever seen. I would come back on a weekday when there is less people because it's definitely family day out and kids party vines there. There are bbqs and lots of different areas to chill, tables, grass, sand big trees, I like it but the screaming children was just a bit overwhelming. I would love to come back and SUP, going all in-between all of the boats would be a delight!",,Visited,Clareville Beach,-33.63433484,151.31130773640888
Taylors Beach,Northern Beaches,Clareville,"Harbour Beach, Pittwater Harbour",1,No,,Not Worth your Time,Its mostly a Wharf (albeit a very nice Wharf) and a little sliver of sand. Seems more like a fishing spot instead. Jelly blubbers though! ,,Visited,,-33.63535268,151.3057759021332
Newport Beach,Northern Beaches,Newport,"Ocean Pool, Surf Beach",6,Yes,"BBQ, Cafe","Intimidatingly Large, Visit with Mates","I love Newport, this is where I had the thought that if I ever move out to the suburbs it might be the northern beaches? Wow I could not imagine writing that a year ago. Love this beach tho, you know I love a little sand dune natural vegetation entrance. Something about the way that the colours of the orange sand looked against the sky and the bright yellow and red of the massive number of slsc just looked amazing. I went on a Sunday late arvo and it seems like the make the slsc a pub and they were running a raffle, I loved hearing everyone up there laughing it felt like a true community spirit, great vibes! There were also massive masions on the beach obviously and one with a hot tub that was almost sat on the beach. Jealousy slay!",,Visited,,-33.65290251,151.32283957619023
Bungan Beach,Northern Beaches,Newport,Surf Beach,7,Yes,,"Chill, It's Giving Secret Beach, THE DRAMA, They make you work for it, Visit with Mates","This is literally my new favourite beach. This is a God tier spot! I'm so excited that I found this, it's literally thr biggest hidden/unknown beach I've ever been to. The fucking DRAMA of this beach, the steep steep cliffs, the literal rainforest that you walk through that opens up and BAM there is the beach, the high contrast of all the colours here. WOW! It is so hard to find if you dont know where you're going. For the love of God, DO NOT drive down the steep road that google maps will tell you to drive down, park on the street above. It looks like a driveway because it is! I almost got stuck down there and my car had smoke coming out trying to get back up that hill. You can walk down this road tho, or follow the street around to above where the sls are. Literally on this beach there were just a bunch of surfers and some people with their dogs. For 5.30 on a Sunday there was hardly anyone! Honestly come here if you want to cuddle with a significant other, its so romantic. On the beach there is literally just the sls and all of the natural vegetation. It feels RUGGARD. Also it's a bitch to get back up as it's v steep, but worth it x1000",,Visited,,-33.66745063,151.31851331284446
Mckliver's Ladies Baths,East,Coogee,Ocean Pool,7,Yes,"Crystal Water, Paid","Book Readers Delight, Chill, It's Giving Secret Beach, Stepping Back in Time","Honestly slay. I love this place for the gals and the gals only! The water in the pool is so clear and there are tiny little schools of fishies swimming around. I love how they incorporated all of the natural rock formations into the pool and i love that there are so many little spots on rocks to purchase yourself on. You can go topless and it's just a really nice vibe with only women and children. Even the women that greet you at the door are so lovely (I think they're volunteers as well?) It is $2.50 to enter, normally I'm a big no no on paying to go in the ocean but it's so reasonable that I feel like it's fine! I feel like a mermaid here and I love that feeling!",,Visited,,-33.92411834,151.2593858
Wylie's Baths,East,Coogee,Ocean Pool,6,Yes,"Cafe, Crystal Water, Paid","Book Readers Delight, Chill, Stepping Back in Time, The Place to be Seen","Slightly further up from McKliver’s is Wylie’s. I’m pretty fine occasically paying $2.50 to swim, but I’m totally not fine to pay $6! Entrance fee is too high considering this is essentially the same vibe as Clovelly, which continues to be free? It is really nice in there, I love the retro feel of the grandstand over the rocks and the slanted concrete. I like being able to move from sun to shade and the pool is actually an incredible size, it’s huge! I like the look of the cafe too, it is really a beautiful outlook, but $6!!! for the ocean!! ",,Visited,,-33.92558046,151.25957137737797
